JPS_ID	作品名	作品名かな	作品名_重複	作品名かな_重複
12818	土器	どき	8	12
90079	玦状耳飾	けつじょうみみかざり	8	12
89565	へら状骨器	へらじょうこっき	8	10
57601	書巻	しょかん	8	10
16442	飾金具	かざりかなぐ	8	10
60586	開元通宝	かいげんつうほう	8	9
97150	丸玉	まるだま	8	9
106991	岩版	がんばん	8	9
88213	器台	きだい	8	9
89938	山形土偶残片	やまがたどぐうざんぺん	8	9
3308	双龍鏡	ソウリュウキョウ	8	9
12673	鈴	すず	8	9
88386	鈴釧	すずくしろ	8	9
12145	羯磨	かつま	8	9
16201	鍑	ふく	8	9
151408	ギリシャ陶器片	ぎりしゃとうきへん	8	8
119205	越後国大崎村龍谷寺板碑拓本	えちごのくにおおさきむらりゅうこくじいたびたくほん	8	8
47623	牡丹に蝶	ぼたん　ちょう	8	8
4704	牡丹図	ボタンズ	8	8
150601	幾何学文磚	きかがくもんせん	8	8
116873	機箆	はたべら	8	8
166280	桐紋蒔絵盃	キリモンマキエサカズキ	8	8
16583	金銅羯磨	こんどうかつま	8	8
108360	銀製帯金具	ぎんせいおびかなぐ	8	8
71749	経筒残片	きょうづつざんぺん	8	8
69134	四耳壺	しじこ	8	8
116700	糸巻	いとまき	8	8
154400	漆耳杯	うるしじはい	8	8
3593	手鑑「藻塩草」 書状断簡（消息切）	テカガミ「モシオグサ」 ショジョウダンカン(ショウソクギレ)	8	8
3211	重圏文鏡	ジュウケンモンキョウ	8	8
110539	盾形埴輪	たてがたはにわ	8	8
71119	水注	すいちゅう	8	8
2986	瑞花鴛鴦五花鏡	ズイカエンオウゴカキョウ	8	8
3306	瑞花双鳥八稜鏡	ズイカソウチョウハチリョウキョウ	8	8
170722	西陣織錦見本	ニシジンオリニシキミホン	8	8
12224	青磁碗	せいじわん	8	8
79618	染付盃台	そめつけさかずきだい	8	8
15889	大日如来坐像	だいにちにょらいざぞう	8	8
92774	竪櫛	たてぐし	8	8
95219	土錘	どすい	8	8
112791	土版	どばん	8	8
162467	道化面	どうけめん	8	8
16118	銅孔雀文磬	どうくじゃくもんけい	8	8
153990	軟質台付甕	なんしつだいつきがめ	8	8
5667	白衣観音図	ビャクエカンノンズ	8	8
143966	仏陀坐像	ぶっだざぞう	8	8
12804	変形四獣鏡	へんけいしじゅうきょう	8	8
2727	宝相華鏡	ホウソウゲキョウ	8	8
94684	磨製石剣	ませいせっけん	8	8
610	有柄式磨製石剣	ユウヘイシキマセイセッケン	8	8
96666	坩形土製品	かんがたどせいひん	8	8
112889	壺形土器残欠	つぼがたどきざんけつ	8	8
96921	甕棺	かめかん	8	8
88372	鼉龍鏡	だりゅうきょう	8	8
155	菊花散双鳥鏡	キッカチラシソウチョウキョウ	8	7
14799	狂言面　武悪	きょうげんめん　ぶあく	8	7
91648	台付長頸壺	だいつきちょうけいこ	8	7
66135	大観通宝	たいかんつうほう	8	7
16427	鎮子	ちんす	8	7
92248	鉢形土器残片	はちがたどきざんぺん	8	7
49729	飛鳥山花見	あすかやまのはなみ	8	7
12705	斧	おの	8	7
98033	弭形角器	ゆはずがたかっき	8	7
153819	蟠螭文鼎	ばんちもんてい	8	7
86011	享保雛	きょうほうびな	8	6
144261	四臂観音菩薩坐像	しひかんのんぼさつざぞう	8	6
88743	頭椎大刀	かぶつちのたち	8	6
12139	独鈷杵	とっこしょ	8	6
88262	須恵器　平瓶	すえき　ひらべ	8	5
95064	土師器 坩	はじき　かん	8	5
67369	古銭(字体不明)	こせん　じたいふめい	8	4
64477	古銭（字体不明）	こせん（じたいふめい）	8	3
93558	頭椎大刀	かぶつちたち	8	3
155366	斧	ふ	8	3
71551	菊花散双鳥鏡	きっかそうじゃくきょう	8	2
171931	享保雛	キョウホビナ	8	2
67744	古銭（字体不明）	こせん	8	2
144246	四臂観音菩薩坐像	しひかんのんぼさつりゅうぞう	8	2
334	須恵器 平瓶	スエキ ヘイヘイ	8	2
71707	独鈷杵	どっこしょ	8	2
92312	鉢形土器残片	つぼがたどきざんぺん	8	2
168102	狂言面　武悪	ギョウドウメン　ブアク	8	1
176236	四臂観音菩薩坐像	シキカンノンボサツザゾウ	8	1
172617	須恵器 平瓶	スエキ ヒラカ	8	1
93785	台付長頸壺	だいつきちょうけいつぼ	8	1
67742	大観通宝	だいかんつうほう	8	1
170047	鎮子	チンシ	8	1
